iter	Passed	Remaining
0	188	188782
1	224	111893
2	258	86059
3	293	72960
4	327	65105
5	361	59897
6	400	56819
7	441	54721
8	474	52298
9	512	50700
10	546	49098
11	579	47735
12	613	46609
13	647	45604
14	680	44689
15	715	43998
16	752	43501
17	789	43070
18	826	42685
19	862	42270
20	896	41815
21	940	41791
22	982	41743
23	1022	41561
24	1058	41263
25	1093	40978
26	1133	40852
27	1175	40809
28	1214	40652
29	1250	40441
30	1288	40267
31	1326	40113
32	1363	39956
33	1397	39700
34	1431	39458
35	1468	39327
36	1509	39281
37	1546	39151
38	1584	39045
39	1622	38938
40	1660	38850
41	1698	38734
42	1736	38643
43	1772	38515
44	1806	38346
45	1840	38160
46	1872	37976
47	1906	37814
48	1939	37650
49	1980	37637
50	2022	37637
51	2061	37578
52	2099	37514
53	2134	37399
54	2169	37268
55	2201	37117
56	2235	36978
57	2269	36856
58	2302	36720
59	2335	36596
60	2369	36470
61	2403	36358
62	2436	36243
63	2469	36115
64	2506	36050
65	2540	35951
66	2573	35833
67	2605	35714
68	2638	35599
69	2671	35493
70	2704	35389
71	2737	35277
72	2769	35168
73	2802	35064
74	2835	34972
75	2868	34879
76	2901	34785
77	2935	34704
78	2971	34644
79	3012	34642
80	3045	34557
81	3079	34479
82	3113	34393
83	3146	34316
84	3180	34240
85	3213	34155
86	3246	34065
87	3279	33989
88	3313	33914
89	3347	33845
90	3381	33779
91	3414	33701
92	3447	33620
93	3480	33545
94	3513	33467
95	3549	33423
96	3582	33354
97	3617	33291
98	3652	33240
99	3685	33169
100	3727	33176
101	3760	33108
102	3793	33040
103	3826	32971
104	3859	32899
105	3892	32825
106	3924	32753
107	3970	32793
108	4006	32749
109	4040	32690
110	4073	32627
111	4106	32561
112	4139	32493
113	4175	32447
114	4208	32386
115	4242	32332
116	4276	32275
117	4311	32226
118	4344	32167
119	4378	32110
120	4412	32055
121	4445	31991
122	4478	31930
123	4518	31924
124	4556	31894
125	4589	31837
126	4623	31783
127	4659	31740
128	4693	31690
129	4728	31646
130	4763	31600
131	4797	31545
132	4830	31485
133	4863	31432
134	4897	31381
135	4931	31327
136	4964	31272
