iter	Passed	Remaining
0	57	57151
1	93	46701
2	135	44958
3	176	43914
4	219	43694
5	262	43504
6	304	43142
7	348	43200
8	391	43099
9	432	42830
10	474	42677
11	515	42442
12	556	42267
13	598	42171
14	640	42069
15	681	41921
16	722	41789
17	763	41653
18	805	41570
19	814	39892
20	859	40057
21	906	40284
22	959	40770
23	1005	40905
24	1060	41372
25	1105	41424
26	1155	41652
27	1165	40460
28	1208	40473
29	1254	40561
30	1299	40626
31	1346	40717
32	1389	40719
33	1432	40693
34	1478	40757
35	1523	40802
36	1567	40804
37	1621	41041
38	1666	41075
39	1690	40576
40	1733	40542
41	1774	40474
42	1815	40414
43	1844	40066
44	1888	40088
45	1934	40130
46	1979	40136
47	2007	39819
48	2056	39909
49	2104	39987
50	2150	40013
51	2193	39981
52	2234	39919
53	2275	39864
54	2317	39815
55	2358	39759
56	2400	39710
57	2441	39655
58	2482	39594
59	2523	39530
60	2564	39473
61	2622	39676
62	2665	39641
63	2707	39595
64	2748	39535
65	2799	39623
66	2845	39626
67	2888	39586
68	2930	39541
69	2964	39391
70	3008	39359
71	3068	39553
72	3113	39537
73	3157	39517
74	3199	39462
75	3241	39408
76	3283	39356
77	3292	38915
78	3319	38704
79	3361	38659
80	3403	38615
81	3444	38563
82	3485	38506
83	3526	38459
84	3568	38417
85	3610	38372
86	3656	38376
87	3692	38263
88	3733	38211
89	3774	38167
90	3815	38115
91	3843	37937
92	3885	37894
93	3907	37659
94	3948	37613
95	3989	37567
96	4024	37464
97	4053	37312
98	4094	37268
99	4136	37227
100	4179	37200
101	4220	37159
102	4261	37115
103	4302	37071
104	4318	36809
105	4359	36766
106	4409	36804
107	4452	36774
108	4494	36736
109	4543	36763
110	4588	36747
111	4630	36715
112	4672	36674
113	4712	36628
114	4755	36594
115	4796	36550
116	4837	36508
117	4878	36463
118	4921	36436
119	4968	36436
120	5027	36525
121	5074	36519
122	5136	36621
123	5184	36628
124	5242	36697
125	5297	36746
126	5348	36766
127	5396	36761
128	5442	36748
129	5497	36789
130	5539	36744
131	5579	36691
132	5621	36647
133	5671	36654
134	5736	36758
135	5804	36876
136	5869	36974
137	5938	37093
138	5992	37121
139	6064	37251
140	6127	37332
141	6196	37439
142	6260	37519
143	6331	37635
144	6384	37647
145	6440	37671
146	6491	37666
147	6566	37802
148	6648	37970
149	6680	37853
150	6749	37946
151	6848	38207
152	6888	38131
153	6948	38173
154	7022	38285
155	7065	38223
156	7109	38175
157	7151	38109
158	7199	38079
159	7245	38036
160	7293	38005
161	7339	37966
162	7384	37917
163	7430	37875
164	7472	37815
165	7516	37761
166	7558	37702
167	7600	37640
168	7632	37528
169	7678	37491
170	7724	37446
171	7771	37409
172	7818	37375
173	7865	37336
174	7907	37277
175	7953	37238
176	8008	37235
177	8059	37219
178	8109	37195
179	8156	37159
180	8199	37099
181	8240	37036
182	8281	36972
183	8322	36908
184	8363	36846
185	8405	36783
186	8446	36722
187	8487	36658
188	8532	36614
189	8608	36697
190	8696	36835
191	8757	36855
192	8816	36865
193	8867	36841
194	8918	36815
195	8969	36793
196	9037	36839
197	9095	36841
198	9146	36815
199	9199	36799
200	9260	36812
201	9308	36773
202	9350	36712
203	9391	36647
204	9434	36587
205	9476	36527
206	9519	36467
207	9569	36436
208	9630	36449
209	9716	36551
210	9765	36514
211	9822	36511
212	9883	36517
213	9943	36521
214	10006	36536
215	10053	36492
216	10098	36438
217	10140	36373
218	10187	36329
219	10233	36280
220	10278	36231
221	10321	36171
222	10367	36124
