iter	Passed	Remaining
0	191	191496
1	218	109023
2	240	79999
3	269	67151
4	307	61236
5	340	56371
6	371	52753
7	395	49020
8	416	45855
9	446	44228
10	478	43020
11	507	41787
12	544	41340
13	576	40598
14	604	39717
15	636	39167
16	677	39178
17	713	38907
18	748	38630
19	758	37153
20	798	37205
21	839	37324
22	870	36965
23	892	36294
24	916	35741
25	949	35551
26	980	35350
27	1005	34906
28	1035	34668
29	1064	34416
30	1096	34259
31	1126	34085
32	1157	33932
33	1191	33859
34	1218	33588
35	1244	33326
36	1276	33219
37	1307	33088
38	1339	33001
39	1353	32477
40	1387	32451
41	1418	32361
42	1446	32190
43	1467	31879
44	1493	31695
45	1521	31549
46	1544	31316
47	1560	30956
48	1585	30780
49	1609	30580
50	1637	30465
51	1664	30345
52	1689	30194
53	1717	30082
54	1750	30080
55	1778	29987
56	1809	29936
57	1840	29885
58	1869	29813
59	1893	29664
60	1916	29504
61	1941	29369
62	1968	29278
63	1996	29199
64	2020	29058
65	2046	28956
66	2069	28812
67	2090	28655
68	2118	28577
69	2142	28459
70	2171	28413
71	2199	28349
72	2223	28239
73	2254	28207
74	2280	28127
75	2300	27974
76	2322	27839
77	2328	27523
78	2343	27320
79	2369	27250
80	2396	27186
81	2418	27076
82	2441	26971
83	2465	26883
84	2488	26783
85	2511	26691
86	2539	26651
87	2558	26514
88	2580	26409
89	2602	26311
90	2628	26251
91	2649	26148
92	2678	26125
93	2699	26018
94	2732	26027
95	2762	26009
96	2783	25913
97	2803	25803
98	2824	25707
99	2846	25619
100	2867	25526
101	2890	25448
102	2916	25399
103	2942	25348
104	2956	25200
105	2981	25145
106	3001	25051
107	3022	24966
108	3053	24960
109	3081	24935
110	3106	24879
111	3131	24831
112	3157	24786
113	3183	24744
114	3216	24756
115	3244	24722
116	3278	24739
117	3307	24720
118	3332	24672
119	3362	24656
120	3385	24590
121	3410	24544
122	3452	24613
123	3478	24574
124	3506	24546
125	3531	24495
126	3559	24466
127	3586	24430
128	3615	24412
129	3642	24375
130	3671	24352
131	3695	24297
132	3716	24224
133	3737	24157
134	3765	24125
135	3791	24087
136	3813	24024
137	3839	23981
138	3864	23940
139	3893	23915
140	3922	23894
141	3952	23884
142	3982	23868
143	4008	23826
144	4039	23820
145	4070	23810
146	4093	23750
147	4116	23696
148	4148	23693
149	4163	23590
150	4185	23530
151	4211	23493
152	4226	23396
153	4254	23371
154	4281	23340
155	4307	23303
156	4338	23293
157	4367	23275
158	4395	23248
159	4426	23241
160	4458	23235
161	4482	23189
162	4511	23164
163	4540	23144
164	4564	23099
165	4592	23074
166	4623	23060
167	4659	23073
168	4682	23025
169	4715	23021
170	4747	23013
171	4769	22959
172	4792	22911
173	4818	22872
174	4843	22835
175	4876	22833
176	4910	22833
177	4945	22838
178	4976	22823
179	5009	22822
180	5037	22791
181	5058	22734
182	5079	22678
183	5104	22635
184	5134	22619
185	5156	22568
186	5183	22533
187	5210	22505
188	5241	22490
189	5269	22466
190	5292	22416
191	5317	22379
192	5342	22338
193	5372	22319
194	5403	22306
195	5435	22296
196	5467	22287
197	5499	22277
198	5526	22246
199	5548	22192
200	5570	22143
201	5596	22109
202	5626	22091
203	5652	22056
204	5677	22016
205	5703	21983
206	5729	21949
207	5760	21935
208	5787	21904
209	5821	21900
210	5849	21872
211	5878	21849
212	5907	21826
213	5937	21806
214	5966	21784
215	5991	21745
216	6019	21720
217	6041	21670
218	6062	21619
219	6081	21561
220	6103	21512
221	6124	21462
222	6147	21419
223	6175	21394
224	6196	21345
225	6220	21303
226	6252	21290
227	6276	21251
228	6298	21204
229	6322	21165
230	6343	21117
231	6364	21069
232	6388	21028
233	6412	20991
234	6438	20960
235	6462	20922
236	6491	20897
237	6515	20861
238	6538	20819
239	6558	20769
240	6582	20730
241	6605	20689
242	6629	20652
243	6649	20603
244	6671	20559
245	6692	20513
246	6718	20481
247	6743	20446
248	6768	20415
249	6795	20386
250	6816	20341
251	6836	20291
252	6855	20241
253	6877	20197
254	6898	20155
255	6922	20119
256	6953	20102
257	6976	20063
258	7007	20047
259	7040	20038
260	7073	20027
261	7103	20008
262	7124	19965
263	7145	19921
264	7168	19882
265	7189	19839
266	7217	19813
267	7241	19777
268	7262	19734
269	7288	19704
270	7316	19682
271	7350	19674
272	7381	19656
273	7402	19614
274	7424	19572
275	7445	19530
276	7467	19491
277	7488	19448
278	7509	19407
279	7538	19385
280	7566	19359
281	7586	19316
282	7613	19289
283	7646	19278
284	7678	19262
285	7700	19224
286	7727	19196
287	7751	19162
288	7773	19123
289	7800	19096
290	7822	19059
291	7851	19037
292	7874	19001
293	7900	18971
294	7925	18940
295	7948	18903
296	7974	18875
297	7997	18838
298	8017	18795
299	8036	18752
300	8059	18715
301	8095	18709
302	8129	18699
303	8151	18663
304	8180	18640
305	8204	18606
306	8234	18587
307	8256	18549
308	8282	18521
309	8317	18513
310	8338	18474
311	8364	18444
312	8405	18449
313	8436	18431
314	8468	18415
315	8491	18381
316	8513	18342
317	8534	18304
318	8558	18271
319	8583	18240
320	8614	18221
321	8637	18187
322	8669	18170
323	8697	18147
324	8719	18110
325	8745	18081
326	8773	18055
327	8804	18039
328	8837	18024
329	8873	18016
330	8898	17985
331	8926	17961
332	8955	17938
333	8984	17914
334	9011	17889
335	9035	17855
336	9063	17831
337	9096	17817
338	9127	17797
339	9159	17780
340	9187	17755
341	9209	17719
342	9236	17691
343	9268	17674
344	9290	17639
345	9312	17602
346	9335	17567
347	9356	17529
348	9381	17499
349	9405	17467
350	9430	17436
351	9453	17402
352	9480	17375
353	9503	17342
354	9531	17318
355	9554	17284
356	9579	17254
357	9599	17215
358	9621	17178
359	9648	17152
360	9678	17131
361	9701	17097
362	9731	17077
363	9757	17048
364	9785	17023
365	9810	16993
366	9840	16972
367	9872	16955
368	9906	16940
369	9936	16919
370	9963	16892
371	9986	16859
372	10012	16830
373	10037	16800
374	10066	16776
375	10092	16748
376	10119	16723
377	10143	16691
378	10174	16670
379	10194	16633
380	10218	16601
381	10241	16569
382	10262	16532
383	10283	16495
384	10308	16466
385	10331	16434
386	10353	16399
387	10375	16365
388	10398	16333
389	10421	16300
390	10448	16274
391	10478	16252
392	10512	16236
393	10544	16218
394	10568	16186
395	10596	16163
396	10624	16138
397	10656	16119
398	10677	16083
399	10697	16046
400	10720	16013
401	10751	15993
402	10781	15971
403	10804	15939
404	10832	15914
405	10854	15880
406	10882	15856
407	10907	15826
408	10933	15798
409	10968	15783
410	10991	15752
411	11013	15718
412	11035	15684
413	11056	15649
414	11078	15616
415	11099	15582
416	11122	15550
417	11145	15519
418	11175	15496
419	11202	15470
420	11231	15446
421	11251	15411
422	11279	15386
423	11305	15358
424	11327	15325
425	11351	15294
426	11374	15263
427	11398	15233
428	11425	15207
429	11448	15175
430	11479	15155
431	11512	15136
432	11543	15116
433	11571	15091
434	11594	15059
435	11624	15037
436	11651	15011
437	11675	14980
438	11696	14946
439	11717	14913
440	11738	14878
441	11759	14845
442	11782	14814
443	11808	14786
444	11837	14764
445	11866	14739
446	11896	14717
447	11919	14686
448	11944	14657
449	11972	14633
450	11997	14604
451	12025	14580
452	12058	14560
453	12089	14538
454	12117	14514
455	12149	14493
456	12176	14467
457	12200	14437
458	12225	14410
459	12249	14379
460	12279	14357
461	12301	14324
462	12323	14293
463	12352	14268
464	12379	14243
465	12407	14217
466	12431	14188
467	12453	14156
468	12475	14124
469	12496	14091
470	12518	14060
471	12549	14038
472	12585	14022
473	12611	13995
474	12644	13975
475	12673	13951
476	12702	13927
477	12734	13906
478	12766	13885
479	12794	13860
480	12816	13828
481	12836	13795
482	12859	13765
483	12883	13735
484	12904	13703
485	12925	13670
486	12947	13638
487	12969	13607
488	12993	13578
489	13016	13547
490	13038	13516
491	13066	13491
492	13094	13466
493	13116	13435
494	13137	13403
495	13158	13370
496	13185	13344
497	13217	13324
498	13246	13299
499	13274	13274
500	13306	13253
501	13337	13231
502	13368	13209
503	13391	13179
504	13413	13148
505	13440	13121
506	13467	13095
507	13490	13065
508	13516	13038
509	13549	13017
510	13574	12990
511	13604	12966
512	13639	12947
513	13674	12929
514	13700	12902
515	13723	12872
516	13744	12840
517	13765	12808
518	13786	12777
519	13811	12748
520	13834	12719
521	13854	12687
522	13875	12655
523	13894	12621
524	13915	12590
525	13938	12560
526	13962	12531
527	13991	12507
528	14023	12486
529	14048	12458
530	14075	12432
531	14096	12400
532	14126	12377
533	14157	12354
534	14188	12331
535	14215	12305
536	14242	12279
537	14266	12251
538	14294	12225
539	14316	12195
540	14338	12165
541	14362	12136
542	14391	12112
543	14423	12090
544	14445	12060
545	14472	12033
546	14493	12002
547	14514	11972
548	14537	11942
549	14561	11914
550	14584	11884
551	14608	11856
552	14632	11827
553	14659	11801
554	14684	11773
555	14711	11748
556	14741	11724
557	14769	11698
558	14798	11674
559	14824	11647
560	14848	11619
561	14875	11593
562	14906	11570
563	14935	11545
564	14963	11520
565	14987	11492
566	15020	11471
567	15044	11442
