iter	Passed	Remaining
0	24	24773
1	48	24246
2	76	25508
3	103	25820
4	131	26203
5	167	27732
6	193	27422
7	220	27375
8	248	27321
9	275	27248
10	302	27234
11	329	27138
12	356	27084
13	383	27038
14	411	27051
15	439	27006
16	458	26533
17	487	26580
18	557	28773
19	599	29392
20	649	30291
21	676	30085
22	703	29899
23	717	29197
24	744	29040
25	771	28918
26	798	28786
27	826	28676
28	852	28554
29	879	28443
30	907	28361
31	936	28330
32	967	28357
33	994	28249
34	1021	28150
35	1056	28298
36	1093	28453
37	1120	28370
38	1147	28264
39	1174	28193
40	1201	28105
41	1229	28039
42	1256	27959
43	1283	27877
44	1310	27810
45	1337	27741
46	1365	27687
47	1393	27647
48	1420	27577
49	1448	27516
50	1475	27451
51	1504	27424
52	1532	27391
53	1601	28056
54	1631	28040
55	1667	28113
56	1695	28049
57	1714	27848
58	1741	27772
59	1769	27729
60	1796	27659
61	1824	27597
62	1850	27527
63	1877	27461
64	1904	27401
65	1936	27410
66	1964	27352
67	1991	27293
68	2018	27234
69	2051	27249
70	2086	27296
71	2113	27236
72	2139	27171
73	2166	27104
74	2192	27043
75	2219	26987
76	2246	26931
77	2274	26882
78	2300	26824
79	2328	26772
80	2355	26725
81	2382	26676
82	2409	26623
83	2436	26572
84	2463	26523
85	2491	26476
86	2517	26423
87	2545	26376
88	2571	26324
89	2678	27081
90	2721	27183
91	2752	27164
92	2779	27107
93	2806	27053
94	2829	26951
95	2856	26903
96	2883	26844
97	2918	26858
98	2948	26832
99	2975	26780
100	3002	26725
101	3029	26671
102	3056	26620
103	3084	26570
104	3112	26526
105	3151	26582
106	3179	26532
107	3206	26483
108	3233	26433
109	3261	26384
110	3276	26237
111	3302	26186
112	3317	26040
113	3335	25926
114	3362	25877
115	3389	25833
116	3416	25785
117	3439	25710
118	3453	25569
119	3482	25540
120	3510	25499
121	3537	25456
122	3565	25420
123	3593	25382
124	3619	25338
125	3647	25303
126	3714	25536
127	3745	25514
128	3781	25530
129	3807	25482
130	3835	25443
131	3862	25397
132	3894	25388
133	3922	25347
134	3948	25302
135	3976	25259
136	4002	25214
137	4025	25145
138	4052	25103
139	4079	25058
140	4106	25014
141	4132	24968
142	4159	24927
143	4194	24932
144	4229	24940
145	4256	24896
146	4283	24856
147	4310	24816
148	4338	24777
149	4365	24735
150	4392	24697
151	4420	24660
152	4448	24628
153	4455	24476
154	4481	24433
155	4508	24393
156	4535	24353
157	4562	24316
158	4589	24276
159	4617	24240
160	4645	24209
161	4673	24172
162	4699	24132
163	4732	24123
164	4806	24321
165	4840	24316
166	4871	24300
167	4898	24259
168	4925	24220
169	4952	24181
170	4979	24140
171	5006	24103
172	5033	24062
173	5060	24023
174	5087	23984
175	5114	23946
176	5141	23905
177	5168	23866
178	5195	23827
179	5222	23791
180	5249	23752
181	5281	23739
182	5315	23731
183	5343	23696
184	5370	23660
185	5398	23625
186	5425	23586
187	5452	23550
188	5479	23514
189	5506	23476
190	5533	23438
191	5561	23403
192	5588	23366
193	5615	23328
194	5621	23207
195	5648	23171
196	5675	23136
197	5703	23100
198	5730	23066
199	5757	23029
200	5789	23012
201	5886	23256
202	5935	23303
203	5961	23261
204	5988	23224
205	6016	23188
206	6043	23152
207	6071	23119
208	6101	23091
209	6128	23056
210	6155	23018
211	6182	22980
212	6197	22899
213	6224	22862
214	6251	22826
215	6279	22790
216	6306	22756
217	6346	22765
218	6362	22690
219	6390	22657
220	6417	22621
221	6444	22585
222	6472	22550
223	6499	22515
224	6526	22479
225	6553	22443
226	6580	22408
227	6606	22371
228	6634	22335
229	6661	22301
230	6688	22266
231	6714	22228
232	6742	22195
233	6769	22160
234	6797	22128
235	6823	22091
236	6850	22054
237	6888	22055
238	6952	22137
239	6984	22117
240	6991	22018
241	7018	21983
242	7044	21946
243	7072	21912
244	7106	21900
245	7122	21830
246	7148	21794
247	7175	21757
248	7204	21727
249	7230	21692
250	7242	21613
251	7269	21578
252	7297	21544
253	7324	21512
254	7353	21483
255	7387	21469
256	7412	21430
257	7435	21385
258	7464	21357
259	7492	21324
260	7506	21255
261	7533	21220
262	7560	21188
263	7588	21154
264	7615	21122
265	7642	21088
266	7669	21055
267	7696	21021
268	7715	20966
269	7742	20932
270	7769	20900
271	7796	20866
272	7815	20812
273	7843	20782
274	7874	20760
275	7901	20726
276	7933	20707
277	8000	20779
278	8052	20809
279	8080	20777
280	8107	20745
281	8135	20713
282	8162	20679
283	8189	20645
284	8215	20611
285	8242	20578
286	8270	20545
287	8297	20512
288	8324	20478
289	8350	20444
290	8378	20413
291	8404	20378
292	8435	20353
293	8471	20342
294	8498	20310
295	8525	20277
296	8553	20245
297	8580	20212
298	8607	20179
299	8634	20146
300	8660	20112
301	8671	20041
302	8697	20008
303	8725	19976
304	8752	19944
305	8779	19912
306	8806	19879
307	8834	19848
308	8861	19815
309	8888	19783
310	8915	19752
311	8942	19720
312	9011	19778
313	9050	19772
314	9077	19740
315	9104	19706
316	9131	19673
317	9158	19641
318	9185	19608
319	9212	19575
320	9239	19543
321	9266	19512
322	9295	19482
323	9322	19450
324	9349	19418
325	9376	19386
326	9403	19353
327	9430	19321
328	9445	19263
329	9478	19243
330	9513	19227
331	9540	19196
332	9567	19164
333	9595	19133
334	9636	19129
335	9664	19098
336	9690	19064
337	9718	19034
338	9745	19003
339	9773	18971
340	9800	18939
341	9828	18910
342	9855	18878
343	9883	18847
344	9910	18815
345	9937	18783
346	9964	18752
347	9997	18731
348	10101	18842
349	10137	18827
350	10164	18794
351	10206	18789
352	10233	18755
353	10260	18723
354	10287	18691
355	10314	18658
356	10341	18626
357	10368	18593
358	10395	18561
359	10422	18528
360	10449	18496
361	10475	18462
362	10503	18431
363	10530	18400
364	10584	18413
365	10599	18361
366	10627	18329
367	10654	18298
368	10681	18265
369	10708	18233
370	10735	18201
371	10762	18169
372	10793	18143
373	10821	18113
374	10848	18080
375	10876	18049
376	10902	18017
377	10930	17985
378	10957	17954
379	10984	17921
380	10994	17863
381	11021	17830
382	11049	17799
383	11076	17768
384	11141	17797
385	11180	17784
386	11208	17753
387	11235	17722
388	11263	17690
389	11290	17659
390	11317	17627
391	11344	17594
392	11371	17562
393	11398	17530
394	11425	17500
395	11452	17468
396	11480	17437
397	11507	17405
398	11534	17374
399	11560	17341
400	11571	17285
401	11607	17266
402	11637	17239
403	11665	17208
404	11692	17177
405	11719	17146
406	11747	17115
407	11774	17084
408	11809	17064
409	11847	17048
410	11882	17028
411	11902	16987
412	11933	16961
413	11963	16934
414	11990	16902
415	12005	16853
416	12032	16822
417	12058	16789
418	12084	16756
419	12111	16725
420	12138	16694
421	12208	16722
422	12253	16714
423	12297	16706
424	12334	16688
425	12365	16661
426	12396	16634
427	12423	16602
428	12451	16572
429	12462	16519
430	12489	16489
431	12517	16458
432	12544	16426
433	12571	16394
434	12598	16363
435	12625	16332
436	12652	16300
437	12687	16279
438	12706	16238
439	12734	16207
440	12761	16176
441	12796	16154
442	12823	16122
443	12850	16091
444	12877	16060
445	12904	16029
446	12915	15978
447	12942	15947
448	12972	15919
449	13008	15899
450	13049	15884
451	13085	15864
452	13105	15824
453	13138	15801
454	13158	15761
455	13186	15730
456	13217	15704
457	13285	15722
458	13309	15687
459	13337	15657
460	13365	15626
461	13391	15594
462	13418	15563
463	13445	15531
464	13472	15501
465	13499	15469
466	13526	15438
467	13553	15406
468	13580	15375
469	13607	15344
470	13634	15313
471	13660	15281
472	13688	15251
473	13715	15219
474	13750	15197
475	13781	15171
476	13809	15141
477	13836	15109
478	13864	15079
479	13891	15049
480	13919	15019
481	13946	14988
482	13980	14964
483	14017	14944
484	14051	14921
485	14087	14899
486	14122	14876
487	14149	14845
488	14176	14814
489	14195	14775
490	14222	14744
491	14229	14691
492	14255	14660
493	14362	14711
494	14397	14688
495	14421	14654
496	14448	14623
497	14476	14592
498	14495	14553
499	14521	14521
500	14548	14490
501	14575	14459
502	14601	14427
503	14629	14396
504	14655	14365
505	14679	14330
506	14705	14299
507	14733	14269
508	14764	14241
509	14794	14213
510	14847	14207
511	14875	14177
512	14889	14134
513	14916	14104
514	14928	14059
515	14955	14028
516	14983	13997
517	15009	13966
518	15037	13936
519	15064	13905
520	15091	13874
521	15101	13828
522	15121	13791
523	15152	13764
524	15188	13741
525	15209	13705
526	15223	13663
527	15258	13640
528	15286	13610
529	15312	13579
530	15337	13546
531	15409	13555
532	15441	13529
533	15468	13498
534	15495	13467
535	15522	13437
536	15541	13400
537	15568	13369
538	15595	13338
539	15623	13308
540	15649	13277
541	15665	13238
542	15680	13196
543	15706	13165
544	15735	13136
545	15764	13108
546	15790	13077
547	15818	13047
548	15845	13016
549	15884	12996
550	15912	12966
551	15939	12936
552	15966	12906
553	15993	12875
554	16020	12845
555	16047	12814
556	16074	12784
557	16101	12754
558	16128	12723
559	16142	12683
560	16169	12653
561	16196	12623
562	16223	12592
563	16251	12562
564	16270	12527
565	16306	12503
566	16339	12478
567	16356	12440
568	16375	12403
569	16411	12380
570	16490	12389
571	16532	12370
572	16567	12346
573	16593	12315
574	16620	12284
575	16647	12254
576	16673	12223
577	16700	12193
578	16734	12167
579	16761	12137
580	16788	12107
581	16802	12067
582	16825	12034
583	16851	12004
584	16879	11974
585	16906	11943
586	16933	11913
587	16963	11886
588	16997	11860
589	17024	11830
590	17051	11800
591	17079	11770
592	17105	11740
593	17132	11710
594	17159	11680
595	17186	11650
596	17213	11619
597	17240	11589
598	17267	11559
599	17294	11529
600	17320	11498
601	17347	11468
602	17373	11438
603	17400	11408
604	17427	11377
605	17454	11348
606	17569	11375
607	17614	11356
608	17642	11327
609	17669	11297
610	17696	11266
611	17728	11239
612	17755	11209
613	17774	11174
614	17801	11143
615	17828	11113
616	17855	11083
617	17883	11054
618	17903	11019
619	17920	10983
620	17946	10953
621	17973	10923
622	18001	10893
623	18041	10871
624	18053	10832
625	18076	10799
626	18103	10769
627	18130	10739
628	18157	10709
629	18184	10679
630	18211	10649
631	18238	10619
632	18265	10590
633	18292	10559
634	18319	10530
635	18346	10500
636	18373	10470
637	18391	10435
638	18419	10405
639	18446	10376
640	18473	10346
641	18499	10315
642	18526	10286
643	18556	10257
644	18615	10245
645	18649	10219
646	18678	10191
647	18710	10163
648	18737	10133
649	18748	10095
650	18774	10064
651	18801	10035
652	18828	10005
653	18858	9976
654	18887	9948
655	18914	9918
656	18936	9886
657	18964	9856
658	18991	9826
659	19017	9797
660	19044	9767
661	19075	9739
662	19108	9712
663	19138	9684
664	19165	9654
665	19193	9625
666	19220	9596
667	19248	9566
668	19263	9530
669	19289	9500
670	19316	9471
671	19343	9441
672	19357	9405
673	19385	9376
674	19404	9342
675	19431	9313
676	19459	9283
677	19486	9254
678	19513	9225
679	19540	9195
680	19568	9166
681	19594	9136
682	19672	9130
683	19717	9109
684	19753	9083
685	19769	9048
686	19796	9019
687	19824	8990
688	19851	8960
689	19866	8925
690	19876	8888
691	19903	8858
692	19929	8828
693	19956	8799
694	19982	8769
695	20010	8740
696	20037	8710
697	20064	8681
698	20075	8644
699	20102	8615
700	20117	8580
701	20158	8557
702	20169	8521
703	20196	8491
704	20223	8462
705	20251	8433
706	20266	8399
707	20297	8371
708	20324	8342
709	20354	8313
710	20381	8284
711	20408	8255
712	20436	8226
713	20462	8196
714	20489	8167
715	20516	8137
716	20543	8108
717	20570	8079
718	20597	8050
719	20625	8021
720	20742	8026
721	20778	8000
722	20791	7965
723	20818	7936
724	20828	7900
725	20856	7871
726	20870	7837
727	20897	7807
728	20924	7778
729	20951	7749
730	20978	7719
731	21005	7690
732	21032	7661
733	21059	7631
734	21086	7602
735	21113	7573
736	21141	7544
737	21168	7515
738	21202	7488
739	21236	7461
740	21266	7433
741	21285	7401
742	21312	7371
743	21339	7342
744	21367	7313
745	21393	7284
746	21420	7255
747	21447	7225
748	21475	7196
749	21501	7167
750	21528	7137
751	21555	7108
752	21582	7079
753	21609	7050
754	21642	7023
755	21668	6993
756	21695	6964
757	21722	6935
758	21733	6900
759	21766	6873
760	21825	6854
761	21862	6828
762	21891	6799
763	21902	6765
764	21929	6736
765	21956	6707
766	21983	6678
767	22009	6648
768	22036	6619
769	22063	6590
770	22090	6561
771	22101	6527
772	22127	6498
773	22142	6465
774	22168	6436
775	22195	6406
776	22222	6377
777	22255	6350
778	22292	6324
779	22319	6295
780	22347	6266
