iter	Logloss
0	0.627788794
1	0.564474434
2	0.5279252551
3	0.4917416496
4	0.4708729662
5	0.4482379041
6	0.4309626997
7	0.4121381424
8	0.401122701
9	0.3919462038
10	0.3815268625
11	0.373976583
12	0.368474138
13	0.3641934381
14	0.3597425728
15	0.3555062972
16	0.3521361105
17	0.349834577
18	0.3478095358
19	0.3453149473
20	0.3436875169
21	0.3426284141
22	0.3416790486
23	0.3402946109
24	0.3389263067
25	0.337485367
26	0.336047405
27	0.3349664288
28	0.3336907447
29	0.3328199911
30	0.3320343974
31	0.3313212486
32	0.3305337969
33	0.3291743143
34	0.328516768
35	0.3276813234
36	0.3268739182
37	0.3265368199
38	0.3260918956
39	0.3257798314
40	0.3255185806
41	0.3254180029
42	0.3251184671
43	0.3246423107
44	0.3240781178
45	0.3234435757
46	0.3230428426
47	0.3225697318
48	0.321900908
49	0.3215476461
50	0.3210884988
51	0.3206491245
52	0.3204031241
53	0.3201285743
54	0.3194896809
55	0.3187827112
56	0.3180461351
57	0.3179857008
58	0.3173662177
59	0.3169483496
60	0.3164941524
61	0.3160423257
62	0.3157295054
63	0.315315965
64	0.3149559697
65	0.314345308
66	0.3139504858
67	0.3133560286
68	0.313081176
69	0.3126466494
70	0.3122235003
71	0.3118754387
72	0.3116897412
73	0.311435709
74	0.3112386472
75	0.3108506261
76	0.3108093537
77	0.3104961244
78	0.3099813419
79	0.309553778
80	0.3093087018
81	0.3090364479
82	0.3085262406
83	0.3085157106
84	0.3080948021
85	0.30779463
86	0.3075021793
87	0.3071292469
88	0.3066972973
89	0.3066901076
90	0.3063026044
91	0.3058194303
92	0.30565581
93	0.3052813214
94	0.3049021611
95	0.3044361622
96	0.3040663922
97	0.3037889238
98	0.3035602345
99	0.3031343708
100	0.3028015626
101	0.302449792
102	0.3021470452
103	0.3019888873
104	0.3015475502
105	0.3013177488
106	0.3008097158
107	0.3003485647
108	0.299796628
109	0.299410739
110	0.2991746121
111	0.2990321768
112	0.2987583234
113	0.2985810519
114	0.2983325312
115	0.298000817
116	0.2976803821
117	0.2973319287
118	0.2969824822
119	0.296758574
120	0.2965093778
121	0.2961954662
122	0.2959027771
123	0.2954794617
124	0.2952914862
125	0.2950156913
126	0.294735229
127	0.2944023636
128	0.2942089644
129	0.2939300848
130	0.2937233613
131	0.2932372316
132	0.2928614512
133	0.2924724926
134	0.2919722155
135	0.2919004461
136	0.2915990547
137	0.2914382586
138	0.2913478955
139	0.2910095269
140	0.2907724998
141	0.2905426118
142	0.2901799859
143	0.2898058204
144	0.2896457342
145	0.2893558651
146	0.2890361889
147	0.2885971358
148	0.2884729882
149	0.2881157077
150	0.2879132518
151	0.2875951784
152	0.2872661987
153	0.2868495095
154	0.2864228235
155	0.2860610044
156	0.2858759697
157	0.2856415219
158	0.2855100594
159	0.2852402845
160	0.28486053
161	0.2844418624
162	0.2843304041
163	0.283969475
164	0.2839472945
165	0.2837362645
166	0.2834697455
167	0.2831728832
168	0.2828046326
169	0.2825320749
170	0.2824036743
171	0.2820856533
172	0.2818402092
173	0.2815525994
174	0.2813060976
175	0.2808123405
176	0.2806731981
177	0.280324749
178	0.2801906441
179	0.2799639481
180	0.2796893078
181	0.2793549328
182	0.2792438102
183	0.278917014
184	0.2788295451
185	0.2785157097
186	0.2780720653
187	0.2778679176
188	0.2775128602
189	0.2773113822
190	0.277053623
191	0.2766276309
192	0.2764095168
193	0.2761768016
194	0.2758845696
195	0.2755040992
196	0.2752778799
197	0.2748416416
198	0.2745214273
199	0.274272443
200	0.2740195894
201	0.2736929643
202	0.2735344486
203	0.2733244852
204	0.2729405422
205	0.2726137956
206	0.2724380824
207	0.2722085796
208	0.2720727683
209	0.2717959699
210	0.2716922677
211	0.2715994951
212	0.2712228353
213	0.270992094
214	0.2706513015
215	0.2701284669
216	0.269848667
217	0.2695529447
218	0.2692223701
219	0.2691180836
220	0.2687430334
221	0.2685456547
222	0.2681648131
223	0.2677865147
224	0.2674799887
225	0.26744378
226	0.2671537341
227	0.2668113017
228	0.2664244479
229	0.2661203822
230	0.2657046672
231	0.2656928782
232	0.2655638448
233	0.2653550357
234	0.2651542833
235	0.2650275862
236	0.2648748082
237	0.2646704721
238	0.2643196814
239	0.2642481699
240	0.264076784
241	0.2637376317
242	0.2634515446
243	0.2632365249
244	0.2629411779
245	0.2627039607
246	0.2625024699
247	0.2623184807
248	0.2619805275
249	0.2619010021
250	0.2617226473
251	0.2616130132
252	0.2615189977
253	0.2612320132
254	0.2610424542
255	0.2609010175
256	0.2607678245
257	0.2604380396
258	0.2600567084
259	0.2598099824
260	0.2595550259
261	0.2593758979
262	0.2591467883
263	0.2590084706
264	0.2587219109
265	0.2584676862
266	0.2582216318
267	0.257917321
268	0.2576378851
269	0.2574044867
270	0.2571948189
271	0.2571257489
272	0.2568557409
273	0.2566354114
274	0.2563866965
275	0.2562340025
276	0.2560651606
277	0.2558335785
278	0.2556166582
279	0.2554144847
280	0.2551324784
281	0.2547879573
282	0.2545430177
283	0.2541001752
284	0.2538606503
285	0.2537566841
286	0.2535426363
287	0.2533203957
288	0.2532524819
289	0.2528692383
290	0.2526534449
291	0.2523975302
292	0.2518803361
293	0.2515895465
294	0.2514989011
295	0.2510534885
296	0.2509222296
297	0.250622456
298	0.2505475298
299	0.2503500514
300	0.2500778492
301	0.2498359983
302	0.2497450777
303	0.2494475967
304	0.2490935926
305	0.2488213358
306	0.2486221419
307	0.2483563695
308	0.2480874583
309	0.24804648
310	0.2478205894
311	0.2476703351
312	0.2473012514
313	0.247191783
314	0.2469297528
315	0.2468540838
316	0.2466476027
317	0.2464699598
318	0.2463053234
319	0.2459764102
320	0.2457642438
321	0.2455501475
322	0.2453182727
323	0.2451172909
324	0.2448483443
325	0.2445510377
326	0.2442638273
327	0.2439988323
328	0.2437563148
329	0.2437036331
330	0.2435534983
331	0.2431960595
332	0.2429247824
333	0.2428528698
334	0.2424328785
335	0.2421013533
336	0.2420329388
337	0.2419058591
338	0.2417468249
339	0.2416947156
340	0.2414794402
341	0.2414229863
342	0.2413069547
343	0.2411473007
344	0.2409518498
345	0.2406720094
346	0.2405558809
347	0.2403355461
348	0.2400252598
349	0.2396735478
350	0.2393539573
351	0.2390605684
352	0.2387750306
353	0.2384399158
354	0.2381857323
355	0.238043426
356	0.2378492052
357	0.2375945403
358	0.2373813564
359	0.2371490049
360	0.2369825924
361	0.2368800348
362	0.2366510831
363	0.2363914329
364	0.2361555744
365	0.2358224837
366	0.2356063283
367	0.2353510395
368	0.2352375471
369	0.2350220577
370	0.2348141304
371	0.2345203981
372	0.2343007123
373	0.2341081431
374	0.2338277728
375	0.2338277535
376	0.2337871156
377	0.2335415229
378	0.2333687623
379	0.233012439
380	0.2327603083
381	0.2325843422
382	0.2323796461
383	0.2320505352
384	0.231877116
385	0.2317982538
386	0.2316639107
387	0.2315409039
388	0.2315102032
389	0.2313475704
390	0.2313237696
391	0.2311568352
392	0.231058849
393	0.2309603752
394	0.2308464095
395	0.230376328
396	0.2300610856
397	0.2298692484
398	0.229705576
399	0.2293809712
400	0.2291543322
401	0.2290119447
402	0.2289088423
403	0.2286844295
404	0.228418648
405	0.2282246695
406	0.2281807412
407	0.2280283034
408	0.2278252031
409	0.2276762721
410	0.2275490075
411	0.2274793887
412	0.2272932766
413	0.2272069709
414	0.2270619482
415	0.2267221732
416	0.2264036094
417	0.2262714794
418	0.2260247665
419	0.2257305293
420	0.2256024058
421	0.2254146287
422	0.2252417551
423	0.2250412976
424	0.224841563
425	0.224731197
426	0.2244429815
427	0.224304878
428	0.2242414047
429	0.224203742
430	0.2240043402
431	0.2237608111
432	0.2235822812
433	0.2233412992
434	0.2232502408
435	0.2231868204
436	0.2229478502
437	0.2229394064
438	0.2228493624
439	0.2227738299
440	0.2226943223
441	0.2224073335
442	0.2221185467
443	0.2220843715
444	0.2219933378
445	0.221816093
446	0.2216446196
447	0.2213036304
448	0.2211134205
449	0.2208893981
450	0.2207023897
451	0.2205950041
452	0.2204399112
453	0.2201511023
454	0.2200146202
455	0.2198577395
456	0.2196534647
457	0.2194236301
458	0.2192230284
459	0.2189301827
460	0.2187936649
461	0.2186340309
462	0.2184826647
463	0.218228643
464	0.2181065239
465	0.2180340549
466	0.2178150003
467	0.2176234131
468	0.2175232308
469	0.2173325882
470	0.2170879211
471	0.2168944584
472	0.2166151359
473	0.2164229668
474	0.2163375494
475	0.2163009465
476	0.21606248
477	0.2158317203
478	0.2157129209
479	0.2155412634
480	0.2154688483
481	0.2151878861
482	0.2149849769
483	0.2148598615
484	0.2147340295
485	0.2145618533
486	0.214482079
487	0.2143486019
488	0.2141587114
489	0.2139512057
490	0.2137345652
491	0.213566105
492	0.2134950835
493	0.2132354449
494	0.2131439678
495	0.2130038664
496	0.2127838689
497	0.2126384086
498	0.2124251307
499	0.2122289551
500	0.2119929693
501	0.2117241064
502	0.2115883427
503	0.2115592693
504	0.2114608779
505	0.2114309656
506	0.2112539625
507	0.2111133765
508	0.2109530546
509	0.2108480567
510	0.2106164902
511	0.2103770542
512	0.2101536341
513	0.2099784192
514	0.209829181
515	0.2096544494
516	0.2095122525
517	0.2094156243
518	0.2093404215
519	0.2092107262
520	0.2089857831
521	0.2087442143
522	0.2086677242
523	0.2085958627
524	0.2085257646
525	0.2083078357
526	0.2081544305
527	0.2079351076
528	0.2078556438
529	0.2076951836
530	0.2074892483
531	0.2072862407
532	0.2072260199
533	0.2071051597
534	0.2069072342
535	0.2068948505
536	0.2067055705
537	0.2065591006
538	0.2064512191
539	0.2062944097
540	0.2061004407
541	0.205867373
542	0.2057047901
543	0.2056883197
544	0.2054895163
545	0.2053087418
546	0.2051467601
547	0.204990801
548	0.2049007644
549	0.2048785788
550	0.2048113965
551	0.2047657358
552	0.2047105542
553	0.2045679037
554	0.2043233315
555	0.2042761493
556	0.2041224157
557	0.2039507276
558	0.2037483427
559	0.2036417093
560	0.2034591472
561	0.2033235951
562	0.2031600061
563	0.2030372021
564	0.2029738637
565	0.2029256183
566	0.2028055068
567	0.2026274418
568	0.2025613486
569	0.2025191188
570	0.2023312277
571	0.2021687032
572	0.2019946254
573	0.2018870554
574	0.201872157
575	0.2015585155
576	0.2013527721
577	0.2011864941
578	0.2010475832
579	0.2008128844
580	0.2006651563
581	0.2005050408
582	0.2004109655
583	0.2003020418
584	0.2001869223
585	0.2001280096
586	0.2000360845
587	0.1999873714
588	0.1997692877
589	0.1996502916
590	0.1995144847
591	0.19931074
592	0.1991632576
593	0.1990175229
594	0.1987898576
595	0.1987158632
596	0.1985475221
597	0.1983600444
598	0.1982980626
599	0.1980855639
600	0.1980304585
601	0.1980240658
602	0.1977958425
603	0.1977349275
604	0.1973964667
605	0.1972241333
606	0.1971105558
607	0.1970150222
608	0.1968304989
609	0.196677307
610	0.1965473722
611	0.1964176606
612	0.196207703
613	0.1959404577
614	0.1957893075
615	0.1956909954
