iter	MultiClass
0	1.084921111
1	1.070557831
2	1.058224185
3	1.044047586
4	1.031036196
5	1.017455036
6	1.003908332
7	0.9919017694
8	0.9795864587
9	0.9683779172
10	0.9561670993
11	0.9445292034
12	0.9341083021
13	0.9238984632
14	0.9118147734
15	0.9001847574
16	0.8907882287
17	0.8798243701
18	0.8684114382
19	0.8588843874
20	0.8482679252
21	0.8377994023
22	0.8292948417
23	0.8200782025
24	0.8101572608
25	0.8014563122
26	0.7913901364
27	0.7814285843
28	0.7729318814
29	0.7637065957
30	0.7548535561
31	0.7461119185
32	0.7381690646
33	0.7303254118
34	0.722454431
35	0.7152900327
36	0.7073588646
37	0.6996925775
38	0.6923386411
39	0.684920717
40	0.6782298238
41	0.6716076408
42	0.6646110612
43	0.65799899
44	0.6513423417
45	0.6437345328
46	0.6368540641
47	0.6305437173
48	0.623461485
49	0.617367152
50	0.6118849621
51	0.6054140448
52	0.5992704962
53	0.5930489609
54	0.5867340229
55	0.5809907341
56	0.5756024405
57	0.5701875017
58	0.5646560141
59	0.5588872777
60	0.5535519508
61	0.5481446909
62	0.5434036188
63	0.5382657794
64	0.5331527359
65	0.5275458807
66	0.5225314625
67	0.5175014906
68	0.5122504781
69	0.5071153619
70	0.5024092084
71	0.4968249541
72	0.4924680976
73	0.4878823788
74	0.4833177378
75	0.47862464
76	0.4740844832
77	0.4696817693
78	0.4658179693
79	0.4615247502
80	0.4576930168
81	0.4531916161
82	0.448753778
83	0.4451094094
84	0.4410942439
85	0.4376569911
86	0.4336921664
87	0.4297123978
88	0.4255117308
89	0.4215565851
90	0.4181689556
91	0.4144044062
92	0.4107389671
93	0.4069133574
94	0.4032156249
95	0.399803026
96	0.3963651219
97	0.3928866964
98	0.3893653081
99	0.3857771107
100	0.3824299606
101	0.3788793751
102	0.3756096708
103	0.3724692189
104	0.3694220448
105	0.3659742303
106	0.3624289081
107	0.3595876356
108	0.3565109904
109	0.3540462542
110	0.3512024948
111	0.3479669087
112	0.3447367954
113	0.3414709838
114	0.3384443331
115	0.3355398652
116	0.3324494611
117	0.3294701967
118	0.3265782514
119	0.3242525539
120	0.3217375059
121	0.3189973732
122	0.3162598215
123	0.3134947036
124	0.3111706909
125	0.3088673137
126	0.3064585499
127	0.3042889243
128	0.3016564251
129	0.2992766007
130	0.2968024148
131	0.2942034732
132	0.2920280605
133	0.2900026014
134	0.2875867359
135	0.2852524956
136	0.2827519243
137	0.2802981597
138	0.2783171965
139	0.2760613951
140	0.2736690559
141	0.2712864996
142	0.2691386794
143	0.2668134627
144	0.2645317697
145	0.2625035487
146	0.260324057
147	0.2582876585
148	0.2562441166
149	0.2540554755
150	0.2520910899
151	0.2502189017
152	0.2482990438
153	0.2463103245
154	0.2444742189
155	0.2424285542
156	0.2407161237
157	0.2389110246
158	0.2371442883
159	0.2353707261
160	0.2337382777
161	0.2318859881
