iter	Passed	Remaining
0	183	91339
1	186	46418
2	189	31460
3	193	23974
4	196	19473
5	198	16384
6	201	14200
7	203	12539
8	207	11297
9	210	10292
10	212	9435
11	214	8706
12	220	8275
13	223	7750
14	225	7287
15	227	6890
16	229	6532
17	232	6218
18	234	5936
19	236	5682
20	239	5452
21	241	5237
22	243	5043
23	245	4865
24	247	4701
25	249	4544
26	251	4403
27	253	4273
28	255	4151
29	257	4037
30	259	3932
31	262	3833
32	264	3739
33	266	3650
34	268	3566
35	270	3492
36	273	3420
37	275	3349
38	277	3285
39	280	3223
40	282	3166
41	285	3116
42	288	3062
43	290	3015
44	293	2970
45	296	2927
46	298	2879
47	301	2834
48	302	2788
49	305	2752
50	308	2718
51	310	2679
52	312	2639
53	315	2602
54	316	2563
55	318	2526
56	320	2493
57	324	2471
58	327	2449
59	329	2419
60	332	2395
61	335	2373
62	338	2350
63	342	2332
64	344	2307
65	346	2279
66	349	2259
67	352	2238
68	355	2219
69	357	2198
70	360	2179
71	363	2159
72	366	2141
73	369	2124
74	371	2104
75	373	2085
76	376	2068
77	379	2055
78	383	2043
79	387	2032
80	389	2014
81	392	2000
82	394	1981
83	396	1965
84	399	1949
85	402	1938
86	405	1925
87	408	1911
88	410	1894
89	413	1881
90	416	1870
91	419	1858
92	421	1844
93	424	1832
94	427	1822
95	429	1808
96	431	1794
97	434	1781
98	436	1769
99	439	1756
100	441	1744
101	443	1730
102	446	1719
103	448	1707
104	451	1697
105	455	1692
106	457	1680
107	460	1671
108	462	1660
109	465	1649
110	468	1640
111	470	1630
112	473	1622
113	478	1619
114	480	1609
115	484	1604
116	488	1597
117	491	1590
118	495	1585
119	498	1579
120	503	1575
121	507	1572
122	511	1567
123	515	1563
124	519	1559
125	523	1552
126	525	1543
127	527	1533
128	531	1527
129	535	1522
130	539	1518
131	542	1513
132	546	1509
133	551	1505
134	555	1500
135	558	1495
136	562	1491
137	566	1486
138	570	1480
139	573	1475
140	577	1470
141	581	1465
142	585	1461
143	589	1456
144	593	1453
145	597	1448
146	601	1444
147	605	1439
148	609	1435
149	611	1426
150	614	1420
151	618	1416
152	622	1412
153	626	1407
154	629	1400
155	632	1395
156	636	1389
157	638	1383
158	644	1381
159	649	1380
160	653	1376
161	656	1369
162	658	1361
163	660	1353
164	662	1345
165	666	1340
166	670	1336
167	672	1328
168	674	1321
169	676	1313
170	679	1306
171	680	1298
172	682	1290
173	684	1282
174	686	1274
175	688	1267
176	690	1260
177	692	1253
178	694	1246
179	696	1239
180	699	1232
181	701	1225
182	703	1218
183	705	1211
184	707	1203
185	709	1197
186	711	1191
187	713	1184
188	716	1178
189	717	1171
190	719	1164
191	721	1157
192	723	1151
193	725	1144
194	727	1138
195	729	1132
196	732	1126
197	734	1119
198	736	1113
199	738	1107
200	739	1100
201	742	1094
202	744	1088
203	747	1084
204	750	1079
205	752	1073
206	754	1067
207	756	1062
208	758	1056
209	760	1050
210	762	1044
211	764	1038
212	767	1034
213	771	1030
214	774	1026
215	777	1022
216	779	1016
217	782	1011
218	784	1006
219	786	1000
220	788	995
221	790	990
222	792	984
223	795	979
224	797	974
225	799	969
226	801	963
227	804	960
228	806	954
229	808	949
230	811	944
231	814	940
232	815	934
233	817	929
234	820	925
235	823	921
236	825	916
237	827	911
238	830	906
239	832	901
240	834	896
241	837	892
242	839	888
243	842	883
244	844	879
245	846	874
246	848	869
247	850	864
248	852	859
249	854	854
250	856	849
251	858	845
252	860	840
253	862	835
254	864	830
255	866	826
256	868	821
257	871	817
258	873	812
259	874	807
260	876	802
261	878	798
262	880	793
263	882	789
264	885	785
265	887	780
266	889	776
267	891	771
268	894	767
269	896	763
270	900	760
271	902	756
272	904	752
273	906	748
274	911	745
275	913	741
276	915	737
277	918	733
278	920	729
279	922	725
280	925	721
281	927	717
282	930	713
283	931	708
284	933	704
285	935	700
286	938	696
287	940	692
288	943	689
289	948	686
290	950	682
291	952	678
292	955	674
293	958	671
294	960	667
295	962	663
296	964	659
297	966	655
298	968	651
299	970	647
300	973	643
301	975	639
302	978	636
303	982	633
304	984	629
305	987	626
306	999	628
307	1002	624
308	1004	621
309	1008	618
310	1011	614
311	1013	610
312	1015	606
313	1017	602
314	1019	598
315	1021	595
316	1023	591
317	1026	587
318	1028	583
319	1029	579
320	1032	575
321	1034	571
322	1037	568
323	1040	565
324	1043	561
325	1046	558
326	1049	555
327	1053	552
328	1056	548
329	1058	545
330	1062	542
331	1064	538
332	1067	535
333	1070	532
334	1072	528
335	1074	524
336	1077	521
337	1081	518
338	1084	515
339	1086	511
340	1090	508
341	1091	504
342	1094	500
343	1098	497
344	1101	494
345	1105	492
346	1107	488
347	1110	484
348	1112	481
349	1115	478
350	1118	474
351	1121	471
352	1124	468
353	1126	464
354	1130	461
355	1132	458
356	1135	454
357	1138	451
358	1141	448
359	1143	444
360	1146	441
361	1148	437
362	1153	435
363	1159	433
364	1162	430
365	1167	427
366	1171	424
367	1174	421
368	1178	418
369	1182	415
370	1187	412
371	1191	409
372	1194	406
373	1198	403
374	1202	400
375	1205	397
376	1208	394
377	1212	391
378	1217	388
379	1220	385
380	1222	381
381	1225	378
382	1229	375
383	1234	372
384	1237	369
385	1239	366
386	1242	362
387	1245	359
388	1248	356
389	1251	352
390	1255	349
391	1259	346
392	1263	343
393	1268	341
394	1272	338
395	1275	334
396	1279	332
397	1283	328
398	1287	325
399	1290	322
400	1293	319
401	1297	316
402	1301	313
403	1304	309
404	1307	306
405	1310	303
406	1314	300
407	1317	297
408	1322	294
409	1326	291
410	1330	288
411	1334	285
412	1337	281
413	1339	278
414	1341	274
415	1345	271
416	1348	268
417	1352	265
418	1354	261
419	1358	258
420	1362	255
421	1365	252
422	1368	249
423	1371	245
424	1373	242
425	1377	239
426	1382	236
427	1385	233
428	1387	229
429	1390	226
430	1392	222
431	1395	219
432	1398	216
433	1402	213
434	1405	210
435	1409	206
436	1412	203
437	1414	200
438	1417	196
439	1420	193
440	1423	190
441	1426	187
442	1428	183
443	1431	180
444	1433	177
445	1435	173
446	1438	170
447	1440	167
448	1442	163
449	1445	160
450	1449	157
451	1453	154
452	1457	151
453	1461	148
454	1464	144
455	1466	141
456	1469	138
457	1471	134
458	1474	131
459	1477	128
460	1479	125
461	1481	121
462	1484	118
463	1487	115
464	1490	112
465	1492	108
466	1494	105
467	1496	102
468	1498	99
469	1500	95
470	1502	92
471	1505	89
472	1507	86
473	1509	82
474	1511	79
475	1514	76
476	1517	73
477	1519	69
478	1521	66
479	1524	63
480	1528	60
481	1530	57
482	1533	53
483	1537	50
484	1540	47
485	1543	44
486	1547	41
487	1551	38
488	1556	35
489	1560	31
490	1564	28
491	1568	25
492	1572	22
493	1576	19
494	1579	15
495	1582	12
496	1585	9
497	1588	6
498	1591	3
499	1593	0
